name;maxSpeed;acceleration;fuelRateMixed;fuelType;wheelSize;truckMin;fuelVolume
318i 1.8 MT (115 ë.ñ.);201;11.3;7.6;AI-95;185/65/R15;435;65
428i 2.0 AT (245 ë.ñ.);250;6.4;6.6;AI-95;225/50/R17;220;57
750Li 4.4 AT (407 ë.ñ.);250;5.1;11.9;AI-95;245/50/R18;630;82
740Ld xDrive 3.0d AT (320 ë.ñ.) 4WD;250;5.3;5.0;DT;225/60/R17;515;78
25i 3.0 AT (218 ë.ñ.) 4WD;223;7.9;9.3;AI-95;225/50/R17;420;63
545i 4.4 AT (333 ë.ñ.);250;5.9;10.6;AI-95;225/50/R17;520;70
740d xDrive 3.0d AT (306 ë.ñ.) 4WD;250;6.3;6.9;DT;245/55/R17;645;82
4.8i 4.8 AT (355 ë.ñ.) 4WD;240;6.5;12.5;AI-98;255/55/R18;620;85
20i 2.0 AT (184 ë.ñ.);210;8.6;7.5;AI-95;225/60/R17;550;67
520i 2.2 AT (170 ë.ñ.);226;9.9;9.8;AI-95;225/55/R16;520;70
535d xDrive 3.0d AT (300 ë.ñ.) 4WD;250;6.0;7.1;DT;245/50/R18;440;70
530d 3.0d AT (258 ë.ñ.);245;6.2;5.8;DT;245/50/R18;440;70
420i xDrive 2.0 AT (184 ë.ñ.) 4WD;231;7.5;8.6;AI-95;225/50/R17;445;60
735i 3.6 AT (272 ë.ñ.);250;7.5;10.7;AI-95;245/55/R17;500;88
sDrive20i 2.0 AMT (190 ë.ñ.);227;7.7;5.9;AI-95;225/55/R17;470;51
428i xDrive 2.0 AT (245 ë.ñ.) 4WD;250;5.8;6.4;AI-95;225/50/R17;445;60
530i xDrive 2.0 AT (252 ë.ñ.) 4WD;250;6.0;6.4;AI-95;225/55/R17;530;68
525d 2.5d AT (143 ë.ñ.);211;10.4;5.8;DT;205/65/R15;460;70
840d xDrive 3.0d AT (320 ë.ñ.) 4WD;250;4.9;6.2;DT;245/45/R18;420;68
ActiveHybrid 4.4hyb AT (407 ë.ñ.) 4WD;236;5.6;9.9;AI-98;255/50/R19;724;85
750i xDrive 4.4 AT (407 ë.ñ.) 4WD;250;5.1;11.9;AI-95;245/50/R18;645;82
525d 2.5d MT (143 ë.ñ.);211;10.4;5.8;DT;205/65/R15;460;70
xDrive20i 2.0 AT (192 ë.ñ.) 4WD;224;7.4;6.2;AI-95;225/55/R17;470;51
M850i xDrive 4.4 AT (530 ë.ñ.) 4WD;250;3.7;10.5;AI-95;245/35/R20;420;68
316i 1.8 AT (115 ë.ñ.);197;12.2;8.1;AI-95;205/55/R16;436;63
Competition Package 3.0 AMT (450 ë.ñ.);250;4.0;8.3;AI-98;265/30/R20;480;60
Electro AT (126 êÂò);150;7.3;0.0;electro;155/70/R19;0;0
M550d xDrive 3.0d AT (381 ë.ñ.) 4WD;250;4.7;6.2;DT;245/40/R19;520;70
330i 3.0 MT (272 ë.ñ.);250;6.2;8.7;AI-95;225/45/R17;460;63
525i 2.5 AT (170 ë.ñ.);217;11.3;9.5;AI-92;195/65/R15;460;80
540i xDrive 3.0 AT (340 ë.ñ.) 4WD;250;4.8;7.4;AI-95;225/55/R17;530;68
750i 4.8 AT (367 ë.ñ.);250;5.9;11.4;AI-98;245/55/R17;500;88
550i xDrive 4.4 AT (407 ë.ñ.) 4WD;250;4.8;11.0;AI-95;245/45/R18;530;70
123d 2.0d AT (204 ë.ñ.);236;7.1;5.6;DT;205/50/R17;360;51
740Li 4.0 AT (306 ë.ñ.);250;6.9;11.2;AI-98;245/55/R17;500;88
525d 2.5d AT (177 ë.ñ.);230;8.1;7.8;DT;225/55/R16;520;70
3.0 AT (265 ë.ñ.);250;6.0;9.0;AI-98;225/45/R17;340;55
850i 5.0 AT (300 ë.ñ.);250;7.4;13.0;AI-95;235/50/R16;320;90
435i xDrive 3.0 AT (306 ë.ñ.) 4WD;250;4.9;7.6;AI-95;225/50/R17;445;60
325i 2.5 MT (192 ë.ñ.);233;8.0;8.8;AI-95;205/60/R15;435;65
316i 1.6 MT (102 ë.ñ.);196;12.7;7.4;AI-95;185/65/R15;435;65
530xi 3.0 AT (272 ë.ñ.) 4WD;250;7.0;10.3;AI-95;225/50/R17;520;70
528Li 2.0 AT (245 ë.ñ.);250;6.5;7.0;AI-95;225/55/R17;530;70
630i 3.0 AT (258 ë.ñ.);250;6.5;9.0;AI-95;245/50/R17;450;70
740i 3.0 AT (320 ë.ñ.);250;5.7;7.9;AI-95;245/50/R18;500;80
318d 2.0d MT (122 ë.ñ.);206;10.6;5.6;DT;205/55/R16;460;63
740d 3.0d AT (306 ë.ñ.);250;6.3;6.9;DT;245/55/R17;645;82
630i 3.0 AT (272 ë.ñ.);250;6.6;9.5;AI-95;245/50/R17;450;70
318i 1.8 MT (140 ë.ñ.);213;10.2;7.7;AI-95;185/65/R15;435;65
750i xDrive 4.4 AT (530 ë.ñ.) 4WD;250;4.0;9.5;AI-95;245/45/R19;515;78
840i xDrive 3.0 AT (340 ë.ñ.) 4WD;250;4.7;7.7;AI-95;245/45/R18;420;68
1.9 AT (140 ë.ñ.);207;11.2;7.9;AI-95;185/65/R15;435;65
650i xDrive 4.4 AT (450 ë.ñ.) 4WD;250;4.8;9.2;AI-95;245/45/R18;460;70
